when|seen|X|Y|Z|velocity|days_supply_count|patient_paid_amount|ingredient_cost_paid_amount|male|female|sex_other|ccs_22|ccs_24|ccs_29|ccs_other
0|3540|0.07734218592357796|-0.02046808478679869|0.5585011951978602|16.0|36.0|17.0|280430.0|33646|23722|0|6308|20302|30758|0
0|5471|0.24279105941610385|-0.10449244797738627|0.38350971264029765|3.0|33.0|20.0|318166.0|5596|11982|0|5913|7406|4259|0
0|3353|0.19581716039329833|0.11015986937214899|0.5469378952295485|14.0|34.0|17.0|236521.0|26794|21618|0|8223|17122|23067|0
0|7774|0.020466937184505|0.14189435435903827|0.48315716388709323|9.0|36.0|22.0|797094.0|45839|29407|0|6290|28039|40917|0
0|9154|0.16963728242253356|0.05349476227217206|0.41115617749102656|4.0|33.0|20.0|702591.0|18538|21454|0|9383|16584|14025|0
0|4375|0.10708445758346552|-0.1437550526925429|0.4654213015660673|8.0|39.0|17.0|272594.0|17383|18700|0|5775|14673|15635|0
0|8629|0.0350937562794902|-0.017161349804076593|0.41120066450800674|4.0|38.0|20.0|652446.0|22312|20534|0|4180|19314|19352|0
1|4425|0.054567663786115106|-0.0010474976239811956|0.45592233673794685|6.0|44.0|20.0|352372.0|18392|8965|0|2106|8305|16946|0
1|2924|0.027090546166293736|0.16325262857753242|0.46068586968865116|5.0|41.0|22.0|298594.0|11693|5804|0|1126|5728|10643|0
1|968|0.28851396994268713|-0.010605831348300064|0.4115990692167973|3.0|40.0|22.0|59546.0|1259|1651|0|1098|902|910|0
1|2361|0.024311628637264323|0.08261442097070607|0.5806166187114183|18.0|40.0|19.0|204691.0|32447|10469|0|2526|9768|30622|0
1|1296|0.16675819071031875|0.021293065481165847|0.592412464267502|18.0|38.0|18.0|114926.0|16312|7510|0|2588|6157|15077|0
1|3082|0.15359580109666188|0.10130901064121492|0.45091253544870746|5.0|41.0|21.0|220961.0|10824|5957|0|2134|5142|9505|0
1|474|0.267363139333176|0.14861010605133068|0.5161156482909209|10.0|38.0|17.0|33958.0|2957|1915|0|853|1384|2635|0
1|1531|0.11546368146804142|-0.12835760855085854|0.5253339979607256|11.0|42.0|17.0|119939.0|12344|5388|0|1584|4361|11787|0
1|1829|0.21598112123217947|-0.04232767265283886|0.4856494348735343|7.0|41.0|19.0|141058.0|7779|5522|0|2483|3701|7117|0
1|1660|0.011462105380368487|-0.13293027590047377|0.45357428085295|6.0|49.0|14.0|126753.0|8302|3179|0|728|2808|7945|0
1|2207|0.20578290640784241|-0.1304971321988633|0.4027548269428028|2.0|42.0|16.0|101891.0|2791|3204|0|1339|2183|2473|0
2|2582|0.030207935319392868|0.0876975347695061|0.43062308407858285|4.0|44.0|22.0|234028.0|8578|2903|0|466|2897|8118|0
2|2683|0.09325553358354141|-0.14387160403388785|0.45339397615567484|6.0|47.0|16.0|173412.0|13854|3299|0|907|2814|13432|0
2|2273|0.16023101459600758|0.1538518272416376|0.5073395894874673|10.0|39.0|20.0|185802.0|18881|4643|0|1536|4211|17777|0
2|6313|0.17349260107546746|-0.017446766708526084|0.47176996540000465|7.0|42.0|20.0|436368.0|33946|11696|0|4455|9126|32061|0
2|2043|-0.004192200352356603|0.0832040073543213|0.5568508767542575|15.0|41.0|26.0|206623.0|26723|4804|0|1135|4541|25851|0
3|2536|0.06969461756911968|0.1611708581583345|0.45169867803652614|5.0|41.0|21.0|240869.0|11703|2301|0|495|2225|11284|0
3|773|0.06326823813606097|-0.13507561213575794|0.5294012998006438|12.0|44.0|18.0|56749.0|8642|786|0|227|738|8463|0
3|3851|0.08420955532657579|0.050769542022607785|0.5160104979890233|11.0|43.0|20.0|283555.0|37477|5345|0|1472|4915|36435|0
3|1244|0.25731534328681865|0.01887885835493292|0.45099678597473525|5.0|41.0|22.0|82727.0|5498|1607|0|890|1003|5212|0
3|1093|0.1875998618419209|-0.10101054962032717|0.4074387018408724|2.0|43.0|22.0|59998.0|2277|872|0|306|661|2182|0
3|730|0.1996302591547139|-0.08566247590783418|0.5286252124873771|11.0|42.0|19.0|53850.0|7287|1082|0|535|720|7114|0
3|1718|0.016043009476953012|-0.06937200771670735|0.44572151243335334|5.0|49.0|19.0|132694.0|8914|1351|0|291|1280|8694|0
4|4937|0.1709095374199528|-0.030561530548017597|0.4747562724723746|7.0|43.0|21.0|310035.0|32200|4315|0|1677|3496|31342|0
4|714|-0.0021781118965602917|0.036674069497819|0.5777478957386093|17.0|42.0|25.0|76252.0|12048|615|0|236|564|11863|0
4|1817|0.0893241920370241|0.16597979968363397|0.4665726311726826|6.0|41.0|24.0|154528.0|10836|1368|0|398|1299|10507|0
4|1882|0.004997765929450736|-0.03390510607868661|0.45734493141635024|6.0|47.0|19.0|150558.0|11451|1062|0|195|1063|11255|0
5|2818|0.12912060652796545|-0.07373765938205361|0.4525542606922444|5.0|46.0|18.0|170663.0|15023|1417|0|499|1207|14734|0
5|892|0.26337451672068646|-0.05275980297331322|0.4628616065133593|6.0|42.0|23.0|59114.0|5032|553|0|316|307|4962|0
5|792|0.08269192590362213|0.03175277206779307|0.589628611754288|18.0|42.0|18.0|58890.0|14051|517|0|288|445|13835|0
5|940|0.1883506882644696|0.13378315265293272|0.4772645934932908|7.0|41.0|22.0|73479.0|6671|627|0|269|505|6524|0
5|1035|-0.023533754827547725|-0.02250104843728948|0.486457670580658|9.0|46.0|21.0|94905.0|9155|441|0|136|432|9028|0
5|1104|0.04143114919130269|0.14364989190626598|0.4593681409568404|5.0|43.0|28.0|109095.0|5908|653|0|136|638|5787|0
6|3054|0.17378103256440275|-0.018882529334702736|0.4692113961123727|7.0|43.0|19.0|205618.0|20459|1260|0|538|929|20252|0
6|1444|0.04717835352554286|-0.10811601230497407|0.4813579029817071|8.0|48.0|17.0|84394.0|12469|420|0|154|399|12336|0
6|1826|0.07892410999099225|0.14174456541352118|0.4883059526224592|8.0|42.0|24.0|162738.0|14778|806|0|279|721|14584|0
7|1172|0.11626904423091936|-0.004074441701121653|0.434830905917371|4.0|46.0|20.0|81183.0|5359|280|0|121|251|5267|0
7|833|0.062214725430075744|0.15027124732641622|0.47581387017133214|7.0|43.0|23.0|71845.0|5788|319|0|82|302|5723|0
7|656|0.20857347423909267|0.11593712567529255|0.48359497992937966|8.0|43.0|21.0|40069.0|5167|212|0|120|171|5088|0
7|974|0.0029149601570929726|-0.019391143098224126|0.5164105844897097|11.0|47.0|18.0|63985.0|11178|147|0|91|162|11072|0
7|773|0.17088253470103237|-0.050366312061782596|0.5384863530458159|11.0|43.0|21.0|60669.0|8796|334|0|129|215|8786|0
7|989|0.20803357971099457|-0.14254583648231622|0.4263562792597664|4.0|46.0|16.0|43651.0|3774|316|0|92|225|3773|0
8|1182|0.2125547654473916|0.04923443038258586|0.4572927509033074|6.0|42.0|21.0|82369.0|7055|363|0|148|272|6998|0
8|1827|0.1409457807339184|-0.12281149290195263|0.4584853841578325|6.0|47.0|18.0|119447.0|11580|407|0|133|307|11547|0
8|1613|0.05753279192159319|0.07762494941329512|0.505522457429977|10.0|44.0|21.0|119554.0|16088|409|0|109|355|16033|0
9|510|0.20029605367051645|0.06316270634412785|0.5291482421870779|12.0|42.0|19.0|49293.0|6050|267|0|92|236|5989|0
9|1298|0.0742404082280283|-0.08590883124898246|0.47937834877353225|8.0|48.0|18.0|77783.0|10751|125|0|102|98|10676|0
9|996|0.06890994956627278|0.11405150273659558|0.4818082849992967|8.0|44.0|22.0|66258.0|8385|219|0|55|221|8328|0
9|1094|0.23668595967007877|-0.0943329258346305|0.42994533075768887|4.0|45.0|27.0|78421.0|4423|266|0|81|136|4472|0
10|569|0.26992993642913526|0.006539561257194087|0.4814501927824957|8.0|44.0|31.0|43625.0|4735|276|0|95|226|4690|0
10|1565|0.1490570999113838|-0.10204532116347556|0.46014790957127666|6.0|47.0|17.0|83131.0|9779|209|0|80|147|9761|0
10|568|0.014517269469606976|0.03617706743163829|0.5279677805554315|12.0|45.0|22.0|46722.0|7178|133|0|81|134|7096|0
10|699|0.1295727359195983|0.12496522012380121|0.45252754377339965|6.0|43.0|26.0|57030.0|4234|76|0|34|65|4211|0
11|761|0.1839638594107836|0.05907006446441392|0.48152464852190585|8.0|45.0|20.0|48042.0|6392|350|0|70|302|6370|0
11|418|0.03544003153919715|-0.00880390448952071|0.4761625171489487|9.0|49.0|18.0|25492.0|3859|45|0|6|45|3853|0
11|325|0.06741961628802287|0.16512302319015684|0.4888521447654987|10.0|43.0|29.0|42775.0|3207|56|0|2|57|3204|0
